ts,id,x,y,z,devlon,devlat,devheight,tardistance,tarazim,tarpitch,tarheadangle,radialspeed,tarspeed,rcs,tartype,tarcatecred,threlevel,radtaskway,historydotnum,tacquality,tarrange,reserve,reporttime,devid
45:29.5,93,106.00011385485251,29.355060617994734,434.51503954455256,106.006832,29.35655,352,0,25580,698,1900,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:31.5,93,105.99994072532111,29.355033311998763,435.1958536459133,106.006832,29.35655,352,0,25589,687,1800,-800,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:33.5,93,105.99976976007878,29.355000093029794,436.2151289843023,106.006832,29.35655,352,0,25593,678,1600,-810,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:35.5,93,105.99960577850179,29.354978927739793,436.99949433654547,106.006832,29.35655,352,0,25606,670,1500,-810,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:37.5,93,105.9994322995734,29.35495373635871,437.7792893461883,106.006832,29.35655,352,0,25616,660,1500,-820,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:39.5,93,105.99927162184177,29.354919743348603,438.2452946007252,106.006832,29.35655,352,0,25617,650,1400,-820,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:41.5,93,105.99908929812186,29.35488731833416,438.80208276212215,106.006832,29.35655,352,0,25622,639,1400,-830,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:43.5,93,105.99892658657103,29.35485870566877,438.7677797963843,106.006832,29.35655,352,0,25627,626,1400,-820,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:45.5,93,105.99875283227193,29.354827996750938,437.8378737634048,106.006832,29.35655,352,0,25632,606,1300,-820,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:47.5,93,105.99858216277953,29.354790146193846,437.81805423181504,106.006832,29.35655,352,0,25631,593,1300,-830,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:49.5,93,105.99843007904643,29.354734507646786,440.4423091514036,106.006832,29.35655,352,0,25614,600,1100,-820,800,0,3,0,1,0,0,0,0,0,13:03.9,1
45:51.5,93,105.99826532610463,29.35468286420391,442.2227576812729,106.006832,29.35655,352,0,25603,600,900,-830,800,0,3,0,1,0,0,0,0,0,13:04.0,1
45:53.5,93,105.99810933627775,29.354684608526796,470.9103841101751,106.006832,29.35655,352,0,25628,776,1000,-830,900,0,3,0,1,0,0,0,0,0,13:04.0,1
45:55.5,93,105.99795274358083,29.35467164818765,491.82757574599236,106.006832,29.35655,352,0,25642,895,1300,-860,900,0,3,0,1,0,0,0,0,0,13:04.0,1
45:57.5,93,105.99774182937863,29.35463106218962,456.46643156185746,106.006832,29.35655,352,0,25645,655,1500,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
45:59.5,93,105.99758412246005,29.35451621104546,449.09466051030904,106.006832,29.35655,352,0,25591,598,1400,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:01.5,93,105.99742224909662,29.354427594356444,443.45361271314323,106.006832,29.35655,352,0,25556,553,1600,-860,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:03.5,93,105.99724659657899,29.354465916397867,449.32099358085543,106.006832,29.35655,352,0,25606,578,1400,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:05.5,93,105.99706421039137,29.35446366726204,447.5757337277755,106.006832,29.35655,352,0,25630,558,1800,-830,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:07.5,93,105.99689062204479,29.354407110521617,439.0390146477148,106.006832,29.35655,352,0,25617,499,1800,-830,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:09.5,93,105.99671425644927,29.354368185658885,431.7950227903202,106.006832,29.35655,352,0,25617,450,1800,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:11.5,93,105.99654428424996,29.35432969210022,431.85052123945206,106.006832,29.35655,352,0,25616,443,1800,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:13.5,93,105.9963640188758,29.35428984643725,431.8395298598334,106.006832,29.35655,352,0,25615,435,1100,-850,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:15.5,93,105.99618407276563,29.354249088563883,431.8823723429814,106.006832,29.35655,352,0,25614,428,1000,-860,900,0,3,0,1,0,0,0,0,0,13:04.0,1
46:57.5,157,105.9928359300626,29.353441700344337,441.4031517608091,106.006832,29.35655,352,0,25577,364,200,-800,900,0,0,0,1,0,0,0,0,0,13:04.0,1
46:59.5,157,105.99266963023922,29.353414883892295,435.62394133303314,106.006832,29.35655,352,0,25582,336,700,-800,800,0,0,0,1,0,0,0,0,0,13:04.0,1
47:01.5,157,105.99249810245091,29.353375621604133,432.3594172941521,106.006832,29.35655,352,0,25581,319,800,-850,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:03.5,157,105.99233850868386,29.353338973065252,432.4202417973429,106.006832,29.35655,352,0,25581,316,900,-800,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:05.5,157,105.99215619989238,29.353280203855068,437.1392408274114,106.006832,29.35655,352,0,25573,330,900,-850,900,0,4,0,1,0,0,0,0,0,13:04.0,1
47:07.5,157,105.99200505607472,29.3532491709527,436.2988503864035,106.006832,29.35655,352,0,25574,324,1000,-810,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:09.5,157,105.99183543013774,29.353208715361426,435.5351694514975,106.006832,29.35655,352,0,25573,317,900,-820,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:11.5,157,105.99164349587039,29.353205301270638,433.0371733158827,106.006832,29.35655,352,0,25589,304,1200,-850,900,0,4,0,1,0,0,0,0,0,13:04.0,1
47:13.5,157,105.99145646340811,29.35318606266854,430.8987316060811,106.006832,29.35655,352,0,25598,292,1500,-860,900,0,4,0,1,0,0,0,0,0,13:04.0,1
47:15.5,157,105.99132475346933,29.353151702374273,443.377102246508,106.006832,29.35655,352,0,25595,336,1600,-850,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:17.5,157,105.99119435074269,29.353044854186432,440.65384229365736,106.006832,29.35655,352,0,25565,323,1500,-810,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:19.5,157,105.99102241069153,29.353048716905572,439.73746874928474,106.006832,29.35655,352,0,25581,316,1400,-820,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:21.5,157,105.99084579418232,29.353021016694843,433.00646348204464,106.006832,29.35655,352,0,25586,288,1200,-820,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:23.5,157,105.99069531097227,29.35299643445186,436.554936199449,106.006832,29.35655,352,0,25589,298,1300,-780,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:25.5,157,105.99053752030264,29.35292236144175,439.4804742401466,106.006832,29.35655,352,0,25574,305,1300,-780,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:27.5,157,105.9903463126055,29.35293868754083,428.68642902653664,106.006832,29.35655,352,0,25596,265,1600,-810,800,0,4,0,1,0,0,0,0,0,13:04.0,1
47:29.5,157,105.99015708243108,29.352923997467244,424.08604568522424,106.006832,29.35655,352,0,25606,246,1600,-830,900,0,4,0,1,0,0,0,0,0,13:04.0,1
47:31.5,157,105.9900155551298,29.352882713678667,436.35435011796653,106.006832,29.35655,352,0,25602,286,1600,-820,800,0,4,0,1,0,0,0,0,0,13:04.1,1
47:33.5,157,105.98986497513495,29.352854404829316,437.75839538965374,106.006832,29.35655,352,0,25604,288,1700,-800,800,0,4,0,1,0,0,0,0,0,13:04.1,1
47:35.5,157,105.98969667640877,29.352774916071482,438.33983630593866,106.006832,29.35655,352,0,25588,287,1600,-830,800,0,4,0,1,0,0,0,0,0,13:04.1,1
47:37.5,157,105.98952314890599,29.35273976494387,432.7167402552441,106.006832,29.35655,352,0,25589,265,900,-830,800,0,4,0,1,0,0,0,0,0,13:04.1,1
47:39.5,157,105.98937924979144,29.35264411576529,429.77383159007877,106.006832,29.35655,352,0,25567,253,600,-820,800,0,4,0,1,0,0,0,0,0,13:04.1,1
47:41.5,157,105.98921561849984,29.352517510831195,432.48517720773816,106.006832,29.35655,352,0,25536,259,34200,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
