ts,id,tra_id,x,y,z
00:00.4,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:00.9,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:01.3,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:01.8,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:02.2,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:02.7,3169,0,106.00382408373147,29.35583251972028,434.59967197757214
00:01.5,104,1,106.00447141227332,29.35624080240493,390.4251029668376
00:01.5,2334,2,106.00631460084685,29.35647952104966,449.35663320682943
00:07.7,2334,2,106.00631460084685,29.35647952104966,449.35663320682943
00:02.3,2251,3,105.94376374761794,29.385502870994422,598.1498911334202
00:08.5,2251,3,105.94376374761794,29.385502870994422,598.1498911334202
00:14.8,2251,3,105.94376374761794,29.385502870994422,598.1498911334202
00:03.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:03.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:04.0,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:04.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:04.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:05.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:05.8,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:06.3,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:06.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:07.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:07.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:08.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:08.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:09.0,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:09.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:09.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:10.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:10.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:11.3,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:11.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:12.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:12.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:13.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:13.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:14.0,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:14.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:14.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:15.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:15.8,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:16.3,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:16.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:17.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:17.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:18.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:18.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:19.0,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:19.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:19.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:20.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:20.8,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:21.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:21.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:22.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:22.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:23.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:23.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:24.0,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:24.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:24.9,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:25.3,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:25.8,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:26.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:26.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:27.2,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:27.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:30.4,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:36.6,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:42.8,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:49.1,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:55.3,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
01:01.5,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
01:07.7,3169,4,106.00424564260256,29.35600272107542,435.1885376907885
00:03.5,104,5,106.00430495860455,29.356180488555427,401.9242108920589
00:05.3,2316,6,105.98177935156319,29.34986775526458,437.34713252820075
00:05.3,2541,7,105.98037226023168,29.34993036263959,411.250596890226
00:11.5,2541,7,105.98037226023168,29.34993036263959,411.250596890226
00:17.7,2541,7,105.98037226023168,29.34993036263959,411.250596890226
00:05.5,104,8,106.00414564024273,29.356118586689565,414.82314089126885
00:07.5,104,9,106.00398356347782,29.356062818068,426.1286836983636
00:09.5,104,10,106.00382352642913,29.355998620903055,425.9641790194437
